epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr,epoch_time
64,0.50181,0.85745,0.96338,0.74493,0.79700,0.95180,0.0010000000000000002,119.81299
65,0.49883,0.85748,0.96322,0.74474,0.80060,0.95180,0.0010000000000000002,119.48254
66,0.49615,0.85746,0.96432,0.74637,0.79880,0.95120,0.0010000000000000002,119.93648
67,0.48910,0.85988,0.96478,0.74495,0.79800,0.95120,0.0010000000000000002,119.76849
68,0.48720,0.86173,0.96532,0.74565,0.79780,0.95140,0.0010000000000000002,119.73629
69,0.49006,0.86106,0.96422,0.74734,0.79760,0.95140,0.0010000000000000002,119.83900
70,0.49086,0.86025,0.96360,0.74700,0.79640,0.95280,0.0010000000000000002,120.00784
71,0.48999,0.86130,0.96472,0.74803,0.79880,0.95220,0.0010000000000000002,119.80411
72,0.48227,0.86262,0.96508,0.74678,0.79560,0.95240,0.0010000000000000002,119.67773
73,0.48615,0.86193,0.96494,0.74779,0.79780,0.95360,0.0010000000000000002,120.01551
74,0.48319,0.86162,0.96525,0.74664,0.79860,0.95360,0.0010000000000000002,119.69613
75,0.48283,0.86238,0.96542,0.74765,0.79740,0.95280,0.0010000000000000002,119.96567
76,0.48481,0.86175,0.96466,0.75158,0.79360,0.95200,0.0010000000000000002,119.98082
77,0.48245,0.86252,0.96478,0.74650,0.79740,0.95200,0.0010000000000000002,120.06337
78,0.48039,0.86260,0.96495,0.74629,0.79700,0.95180,0.0010000000000000002,119.72744
79,0.47950,0.86396,0.96572,0.74830,0.79660,0.95160,0.0010000000000000002,119.65667
80,0.47792,0.86453,0.96619,0.74916,0.79600,0.95180,0.0010000000000000002,119.78890
81,0.47865,0.86373,0.96529,0.74862,0.79880,0.95320,0.0010000000000000002,119.95701
82,0.47520,0.86443,0.96552,0.74903,0.79660,0.95280,0.0010000000000000002,119.67476
83,0.47591,0.86550,0.96555,0.74959,0.79680,0.95340,0.0010000000000000002,119.81466
84,0.47735,0.86515,0.96574,0.74830,0.79840,0.95220,0.0010000000000000002,119.75055
85,0.47192,0.86522,0.96605,0.74980,0.79720,0.95260,0.0010000000000000002,119.88084
86,0.47851,0.86199,0.96534,0.75146,0.79760,0.95160,0.0010000000000000002,119.90153
87,0.47621,0.86423,0.96534,0.74927,0.80000,0.95300,0.0010000000000000002,119.79478
88,0.46930,0.86643,0.96666,0.74904,0.79780,0.95260,0.0010000000000000002,119.86099
89,0.46868,0.86594,0.96649,0.75179,0.79780,0.95220,0.0010000000000000002,119.64945
90,0.46918,0.86650,0.96651,0.75058,0.79740,0.95380,0.00010000000000000003,120.01484
91,0.46353,0.86856,0.96653,0.75041,0.79680,0.95240,0.00010000000000000003,119.97076
92,0.46588,0.86762,0.96638,0.75047,0.79780,0.95180,0.00010000000000000003,119.59279
93,0.46673,0.86835,0.96561,0.75010,0.79840,0.95360,0.00010000000000000003,119.80882
