epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr,epoch_time
1,4.60838,0.02862,0.11723,4.82895,0.02880,0.13340,0.1,19.02736
2,4.28413,0.05069,0.18331,4.16600,0.06540,0.21600,0.1,16.59433
3,4.16060,0.05969,0.21692,4.07568,0.06660,0.24680,0.1,16.42538
4,4.06504,0.07200,0.24400,4.02597,0.07920,0.26520,0.1,16.56543
5,4.00006,0.08277,0.26323,3.96456,0.08840,0.27980,0.1,16.34249
