epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
1,4.129502515440721,0.06643846153846154,0.22365384615384615,3.5639275127410888,0.1464,0.3988
2,3.5618337960169866,0.1518846153846154,0.40136153846153844,3.095996356964111,0.232,0.5296
3,3.2728004212892974,0.20668461538461538,0.4828769230769231,2.9088863525390627,0.2686,0.5736
4,3.0624567050053524,0.24843846153846152,0.5370230769230769,2.782730168914795,0.3032,0.6068
5,2.8879743061065675,0.2833230769230769,0.5790384615384615,2.4558039253234862,0.3646,0.6754
6,2.754673179068932,0.31283846153846157,0.6083692307692308,2.338830684661865,0.3992,0.6998
7,2.6384599040104795,0.3366,0.6351615384615384,2.1682376106262207,0.4402,0.7344
8,2.5393598234616794,0.35752307692307694,0.6543769230769231,2.1490000959396363,0.4464,0.7436
9,2.4600694724156305,0.37433076923076924,0.6705076923076924,2.198334232330322,0.4298,0.7264
10,2.3888882680452785,0.38916923076923077,0.6855846153846153,2.0292068937301635,0.4798,0.7558
11,2.3131903373424825,0.4067,0.7018076923076924,1.991524581336975,0.4784,0.7738
12,2.2549190005669226,0.41806923076923075,0.7131615384615385,1.9694102174758912,0.482,0.7706
13,2.1974123193300685,0.43143076923076923,0.7225846153846154,1.932173874092102,0.4946,0.776
14,2.156661973454402,0.44155384615384613,0.7305615384615385,1.8937362184524535,0.5046,0.7846
15,2.100533357033363,0.45436923076923075,0.7408461538461538,1.8540232648849488,0.5102,0.7884
16,2.063228830924401,0.46357692307692305,0.7474153846153846,1.7626655185699462,0.5338,0.8056
17,2.0182691696753867,0.4734615384615385,0.7562846153846153,1.788132311820984,0.5234,0.7968
18,1.985570787532513,0.4803076923076923,0.7622923076923077,1.6692617952346802,0.5554,0.821
19,1.9508031241050134,0.4901153846153846,0.7679076923076923,1.617648879814148,0.5664,0.8278
20,1.914986444737361,0.49740769230769233,0.7750461538461538,1.8064197271347047,0.5334,0.7956
21,1.886584899330139,0.5033230769230769,0.7787615384615385,1.6526078119277954,0.5568,0.821
22,1.8539313927577092,0.5103846153846154,0.7852384615384616,1.6114237880706788,0.5674,0.8262
23,1.8188092787669254,0.5195,0.7903692307692308,1.606245255279541,0.5732,0.8242
24,1.8020782472023598,0.5232769230769231,0.7930846153846154,1.5390714393615723,0.5814,0.8388
25,1.7797893407821654,0.528576923076923,0.7976230769230769,1.6365810689926148,0.5666,0.8282
26,1.7531055183704083,0.5353230769230769,0.8023615384615385,1.5069559003829955,0.5914,0.8438
27,1.732007675082867,0.5388153846153846,0.8053153846153847,1.5167853832244873,0.5948,0.8434
28,1.711573815360436,0.5449307692307692,0.8093230769230769,1.5267987016677858,0.5788,0.8432
29,1.696162588574336,0.5473615384615385,0.8114461538461538,1.581585866355896,0.5744,0.8338
30,1.671625176356389,0.5536384615384615,0.8156,1.5482469524383544,0.5886,0.8426
31,1.5235498734400823,0.5889153846153846,0.8385230769230769,1.2378238355636597,0.6584,0.8848
32,1.4812869310525747,0.5983538461538461,0.8453,1.231835106754303,0.6654,0.8844
33,1.4665147052911611,0.6027461538461538,0.8474846153846154,1.2198629470825195,0.6656,0.888
34,1.4507485365354098,0.6060307692307693,0.85,1.2100218388557433,0.6644,0.89
35,1.4516980298555815,0.6074384615384616,0.8500384615384615,1.2145136849403382,0.6638,0.8888
36,1.439264672939594,0.6092538461538461,0.8518923076923077,1.2116324111938477,0.6658,0.8902
37,1.4294043634561393,0.6120692307692308,0.8529692307692308,1.1981229852676392,0.6694,0.889
38,1.4258676555046668,0.6130076923076923,0.8541384615384615,1.2008368288993836,0.674,0.8916
39,1.4317872193556564,0.6116,0.8512846153846154,1.1927320007324218,0.671,0.8912
40,1.4204716944327722,0.6144923076923077,0.8536076923076923,1.1946427607536316,0.6706,0.8922
41,1.4146704496970544,0.6152692307692308,0.8543153846153846,1.1967218605041503,0.6678,0.8888
42,1.4113097067612868,0.6161692307692308,0.8559846153846153,1.1964270668029786,0.6692,0.8952
43,1.39844142872737,0.6191769230769231,0.8575307692307692,1.1901485584259033,0.674,0.8898
44,1.4035750379562377,0.6188384615384616,0.8562307692307692,1.194021880722046,0.6704,0.8922
45,1.3902705622452955,0.6212923076923077,0.8594384615384615,1.1874677784919738,0.6732,0.8932
46,1.3949888687427228,0.6211615384615384,0.8579461538461538,1.1853082743644714,0.673,0.894
47,1.3876807565542368,0.6220384615384615,0.8590692307692308,1.1760836986541747,0.6756,0.8942
48,1.3823319006553063,0.6228,0.8597846153846154,1.171088329410553,0.6818,0.8978
