epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr,epoch_time
1,0.97776,0.75282,0.91968,0.61039,0.83020,0.96700,0.001,709.41979
2,0.92003,0.76137,0.92283,0.62734,0.82640,0.96240,0.001,707.03390
3,0.89892,0.76345,0.92546,0.62185,0.82440,0.96320,0.001,706.92699
4,0.87716,0.76814,0.92672,0.62526,0.82640,0.96540,0.001,706.82793
5,0.86567,0.77044,0.92725,0.61339,0.82180,0.96500,0.001,706.81063
6,0.85217,0.77297,0.92846,0.59760,0.82840,0.96780,0.001,706.84619
7,0.84406,0.77377,0.93043,0.62349,0.82640,0.96400,0.001,706.97351
8,0.83508,0.77642,0.93132,0.62090,0.82280,0.96400,0.001,706.86275
9,0.82354,0.77764,0.93277,0.60025,0.82880,0.96540,0.001,706.69368
10,0.82733,0.77748,0.93192,0.61992,0.82680,0.96340,0.001,706.87147
