epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr,epoch_time
1,4.56194,0.02308,0.11285,4.30612,0.03380,0.15720,0.1,23.49896
2,4.32939,0.03523,0.15338,4.22274,0.04640,0.18620,0.1,21.07877
3,4.27318,0.04238,0.16908,4.24996,0.03960,0.17880,0.1,21.05664
4,4.23131,0.04692,0.18308,4.10402,0.05640,0.21300,0.1,21.13448
5,4.18755,0.04954,0.19962,4.09842,0.06900,0.23040,0.1,21.23294
